id,title,actor,writer,genre,country,director,rating,score,year,release,runtime
42,Nomads,Lesley-Anne Down,John McTiernan,Horror,USA,John McTiernan,R,5.5,1986,3-7-1986,91
43,The Naked Cage,Shari Shattuck,Paul Nicholas,Drama,USA,Paul Nicholas,R,5.5,1986,3-7-1986,97
44,Hannah and Her Sisters,Mia Farrow,Woody Allen,Comedy,USA,Woody Allen,PG-13,8,1986,3-14-1986,107
45,Crossroads,Ralph Macchio,John Fusco,Drama,USA,Walter Hill,R,7.1,1986,3-14-1986,99
46,Gung Ho,Michael Keaton,Edwin Blum,Comedy,USA,Ron Howard,PG-13,6.2,1986,3-14-1986,112
47,Police Academy 3: Back in Training,Steve Guttenberg,Neal Israel,Comedy,USA,Jerry Paris,PG,5.2,1986,3-21-1986,83
48,Care Bears Movie II: A New Generation,Maxine Miller,Peter Sauder,Animation,Canada,Dale Schott,G,5.3,1986,3-21-1986,76
49,Just Between Friends,Mary Tyler Moore,Allan Burns,Drama,USA,Allan Burns,PG-13,5.9,1986,3-21-1986,110
50,GoBots: Battle of the Rock Lords,Margot Kidder,Jeff Segal,Animation,USA,Don Lusk,G,5.8,1986,3-21-1986,75
51,The Money Pit,Tom Hanks,David Giler,Comedy,USA,Richard Benjamin,PG,6.3,1986,3-26-1986,91
52,Lucas,Corey Haim,David Seltzer,Comedy,USA,David Seltzer,PG-13,6.8,1986,3-28-1986,100
53,Rad,Bart Conner,Sam Bernard,Drama,USA,Hal Needham,PG,7.2,1986,3-28-1986,91
54,April Fool's Day,Deborah Foreman,Danilo Bach,Horror,USA,Fred Walton,R,6.2,1986,3-28-1986,89
55,Ginger and Fred,Marcello Mastroianni,Federico Fellini,Comedy,Italy,Federico Fellini,PG-13,7.3,1986,3-28-1986,125
56,Dream Lover,Kristy McNichol,Jon Boorstin,Crime,USA,Alan J. Pakula,R,5.1,1986,4-2-1986,104
57,Behind Enemy Lines,David Carradine,Malcolm Barbour,Action,USA,Gideon Amir,R,4.9,1986,4-4-1986,90
58,Critters,Dee Wallace,Domonic Muir,Action,USA,Stephen Herek,PG-13,6,1986,4-11-1986,82
59,Band of the Hand,Stephen Lang,Leo Garen,Action,USA,Paul Michael Glaser,R,6.3,1986,4-11-1986,109
60,Off Beat,Judge Reinhold,Dezsö Magyar,Comedy,USA,Michael Dinner,PG,5,1986,4-11-1986,92
61,At Close Range,Sean Penn,Elliott Lewitt,Crime,USA,James Foley,R,7,1986,4-18-1986,111
62,Wise Guys,Danny DeVito,George Gallo,Comedy,USA,Brian De Palma,R,5.6,1986,4-18-1986,100
63,Murphy's Law,Charles Bronson,Gail Morgan Hickman,Action,USA,J. Lee Thompson,R,5.9,1986,4-18-1986,100
64,Absolute Beginners,Patsy Kensit,Colin MacInnes,Drama,UK,Julien Temple,PG-13,5.6,1986,4-18-1986,108
65,Desert Bloom,Jon Voight,Linda Remy,Drama,USA,Eugene Corr,PG,6.6,1986,4-18-1986,105
66,8 Million Ways to Die,Jeff Bridges,Lawrence Block,Action,USA,Hal Ashby,R,5.7,1986,4-25-1986,115
67,Violets Are Blue...,Sissy Spacek,Naomi Foner,Drama,USA,Jack Fisk,PG-13,5.7,1986,4-25-1986,88
68,"No Retreat, No Surrender",Kurt McKinney,See-Yuen Ng,Action,USA,Corey Yuen,PG,5.6,1986,5-2-1986,85
69,"Jo Jo Dancer, Your Life Is Calling",Richard Pryor,Rocco Urbisci,Biography,USA,Richard Pryor,R,6.3,1986,5-2-1986,97
70,Blue City,Judd Nelson,Ross Macdonald,Action,USA,Michelle Manning,R,4.4,1986,5-2-1986,83
71,On the Edge,Bruce Dern,Roy Kissin,Drama,USA,Rob Nilsson,PG-13,7.1,1986,5-2-1986,95
72,Short Circuit,Ally Sheedy,S.S. Wilson,Comedy,USA,John Badham,PG,6.6,1986,5-9-1986,98
73,Fire with Fire,Craig Sheffer,Bill Phillips,Drama,USA,Duncan Gibbins,PG-13,6.6,1986,5-9-1986,103
74,Killer Party,Martin Hewitt,Barney Cohen,Comedy,USA,William Fruet,R,4.7,1986,5-9-1986,91
75,In the Shadow of Kilimanjaro,John Rhys-Davies,T. Michael Harry,Action,UK,Raju Patel,R,5.1,1986,5-9-1986,100
76,Dangerously Close,John Stockwell,Scott Fields,Action,USA,Albert Pyun,R,6.6,1986,5-9-1986,95
77,Top Gun,Tom Cruise,Jim Cash,Action,USA,Tony Scott,PG,6.9,1986,5-16-1986,110
78,Sweet Liberty,Alan Alda,Alan Alda,Comedy,USA,Alan Alda,PG,5.7,1986,5-16-1986,106
79,Cobra,Sylvester Stallone,Paula Gosling,Action,USA,George P. Cosmatos,R,5.7,1986,5-23-1986,87
80,Poltergeist II: The Other Side,JoBeth Williams,Mark Victor,Horror,USA,Brian Gibson,PG-13,5.7,1986,5-23-1986,91
81,Jake Speed,Wayne Crawford,Wayne Crawford,Action,USA,Andrew Lane,PG,5.3,1986,5-30-1986,100
82,Thunder Run,Forrest Tucker,Charles Davis,Action,USA,Gary Hudson,PG-13,5.1,1986,5-30-1986,90
83,SpaceCamp,Kate Capshaw,Clifford Green,Adventure,USA,Harry Winer,PG,5.6,1986,6-6-1986,107
84,Raw Deal,Arnold Schwarzenegger,Luciano Vincenzoni,Action,USA,John Irvin,R,5.5,1986,6-6-1986,106
85,Invaders from Mars,Karen Black,Richard Blake,Horror,USA,Tobe Hooper,PG,5.5,1986,6-6-1986,100
86,My Little Pony: The Movie,Danny DeVito,George Arthur Bloom,Animation,USA,Mike Joens,G,6,1986,6-6-1986,86
87,Ferris Bueller's Day Off,Matthew Broderick,John Hughes,Comedy,USA,John Hughes,PG-13,7.8,1986,6-11-1986,103
88,Back to School,Rodney Dangerfield,Rodney Dangerfield,Comedy,USA,Alan Metter,PG-13,6.6,1986,6-13-1986,96
89,The Manhattan Project,John Lithgow,Marshall Brickman,Sci-Fi,USA,Marshall Brickman,PG-13,6.1,1986,6-13-1986,117
90,Mona Lisa,Bob Hoskins,Neil Jordan,Crime,UK,Neil Jordan,R,7.4,1986,6-13-1986,104
91,Belizaire the Cajun,Armand Assante,Glen Pitre,Drama,USA,Glen Pitre,PG,6.4,1986,6-13-1986,103
92,The Karate Kid Part II,Pat Morita,Robert Mark Kamen,Action,USA,John G. Avildsen,PG,5.9,1986,6-20-1986,113
93,Legal Eagles,Robert Redford,Ivan Reitman,Comedy,USA,Ivan Reitman,PG,5.9,1986,6-20-1986,116
94,Labyrinth,David Bowie,Dennis Lee,Adventure,UK,Jim Henson,PG,7.4,1986,6-27-1986,101
95,Running Scared,Gregory Hines,Gary DeVore,Action,USA,Peter Hyams,R,6.5,1986,6-27-1986,107
96,Ruthless People,Bette Midler,Dale Launer,Comedy,USA,Jim Abrahams,R,6.9,1986,6-27-1986,93
97,American Anthem,Mitchell Gaylord,Evan Archerd,Drama,USA,Albert Magnoli,PG-13,4,1986,6-27-1986,102
98,Big Trouble in Little China,Kurt Russell,Gary Goldman,Action,USA,John Carpenter,PG-13,7.3,1986,7-2-1986,99
99,The Great Mouse Detective,Vincent Price,Peter Young,Animation,USA,Ron Clements,G,7.2,1986,7-2-1986,74
100,Psicosis III,Anthony Perkins,Charles Edward Pogue,Horror,USA,Anthony Perkins,R,5.3,1986,7-2-1986,93
101,About Last Night...,Rob Lowe,David Mamet,Comedy,USA,Edward Zwick,R,6.2,1986,7-2-1986,113
102,Under the Cherry Moon,Prince,Becky Johnston,Comedy,USA,Prince,PG-13,4.9,1986,7-2-1986,98
103,Club Paradise,Robin Williams,Harry Shearer,Comedy,USA,Harold Ramis,PG-13,4.9,1986,7-11-1986,96
104,Aliens,Sigourney Weaver,James Cameron,Action,USA,James Cameron,R,8.4,1986,7-18-1986,137
105,Piratas,Walter Matthau,John Brownjohn,Adventure,France,Roman Polanski,PG-13,6.1,1986,7-18-1986,121
106,Vamp,Chris Makepeace,Donald P. Borchers,Comedy,USA,Richard Wenk,R,5.9,1986,7-18-1986,93
107,Maximum Overdrive,Emilio Estevez,Stephen King,Action,USA,Stephen King,R,5.4,1986,7-25-1986,98
108,Heartburn,Meryl Streep,Nora Ephron,Comedy,USA,Mike Nichols,R,6.1,1986,7-25-1986,108
109,Haunted Honeymoon,Gene Wilder,Gene Wilder,Comedy,USA,Gene Wilder,PG,5.6,1986,7-25-1986,82
110,Out of Bounds,Anthony Michael Hall,Tony Kayden,Action,USA,Richard Tuggle,R,5.4,1986,7-25-1986,93
111,Nothing in Common,Tom Hanks,Rick Podell,Comedy,USA,Garry Marshall,PG,5.9,1986,7-30-1986,118
112,Flight of the Navigator,Joey Cramer,Mark H. Baker,Adventure,USA,Randal Kleiser,PG,6.9,1986,8-1-1986,90
113,Howard the Duck,Lea Thompson,Steve Gerber,Action,USA,Willard Huyck,PG,4.6,1986,8-1-1986,110
114,Jason Lives: Friday the 13th Part VI,Thom Mathews,Tom McLoughlin,Horror,USA,Tom McLoughlin,R,5.9,1986,8-1-1986,86
115,The Transformers: The Movie,Orson Welles,Ron Friedman,Animation,USA,Nelson Shin,PG,7.3,1986,8-8-1986,84
116,One Crazy Summer,John Cusack,Savage Steve Holland,Comedy,USA,Savage Steve Holland,PG,6.4,1986,8-8-1986,93
117,She's Gotta Have It,Tracy Camilla Johns,Spike Lee,Comedy,USA,Spike Lee,R,6.6,1986,8-8-1986,84
118,A Fine Mess,Ted Danson,Blake Edwards,Action,USA,Blake Edwards,PG,4.5,1986,8-8-1986,90
119,Detective School Dropouts,David Landsberg,Lorin Dreyfuss,Comedy,USA,Filippo Ottoni,PG,5.8,1986,8-8-1986,92
120,The Fly,Jeff Goldblum,George Langelaan,Drama,USA,David Cronenberg,R,7.5,1986,8-15-1986,96
121,Manhunter,William Petersen,Thomas Harris,Crime,USA,Michael Mann,R,7.2,1986,8-15-1986,120
122,Armed and Dangerous,John Candy,Brian Grazer,Action,USA,Mark L. Lester,PG-13,5.6,1986,8-15-1986,88
123,A Man and a Woman: 20 Years Later,Anouk Aimée,Claude Lelouch,Drama,France,Claude Lelouch,PG,5.8,1986,8-15-1986,112
124,Stand by Me,Wil Wheaton,Stephen King,Adventure,USA,Rob Reiner,R,8.1,1986,8-22-1986,89
125,The Texas Chainsaw Massacre 2,Dennis Hopper,L.M. Kit Carson,Comedy,USA,Tobe Hooper,UNRATED,5.6,1986,8-22-1986,89
126,Night of the Creeps,Jason Lively,Fred Dekker,Comedy,USA,Fred Dekker,R,6.8,1986,8-22-1986,88
127,Extremities,Farrah Fawcett,William Mastrosimone,Drama,USA,Robert M. Young,R,6.3,1986,8-22-1986,89
128,Reform School Girls,Linda Carol,Jack Cummins,Drama,USA,Tom DeSimone,R,5.2,1986,8-22-1986,94
129,Touch and Go,Michael Keaton,Alan Ormsby,Comedy,USA,Robert Mandel,R,5.8,1986,8-22-1986,101
130,The Whoopee Boys,Michael O'Keefe,Steve Zacharias,Comedy,USA,John Byrum,R,6.2,1986,8-22-1986,88
131,One More Saturday Night,Tom Davis,Tom Davis,Comedy,USA,Dennis Klein,R,5.7,1986,8-22-1986,95
132,Caravaggio,Noam Almaz,Derek Jarman,Biography,UK,Derek Jarman,Not specified,6.7,1986,8-29-1986,93
133,Shanghai Surprise,Sean Penn,John Kohn,Adventure,UK,Jim Goddard,PG-13,3.1,1986,8-29-1986,97
134,Bullies,Jonathan Crombie,John Sheppard,Action,Canada,Paul Lynch,R,5.4,1986,8-29-1986,96
135,Summer,Marie Rivière,Marie Rivière,Drama,France,Éric Rohmer,R,7.8,1986,8-29-1986,98
136,Born American,Mike Norris,Renny Harlin,Action,USA,Renny Harlin,R,4.3,1986,8-29-1986,97
137,Oviri,Donald Sutherland,Henning Carlsen,Biography,Denmark,Henning Carlsen,R,6.2,1986,9-5-1986,100
138,Avenging Force,Michael Dudikoff,James Booth,Action,USA,Sam Firstenberg,R,5.9,1986,9-12-1986,104
139,Hardbodies 2,James Karen,Mark Griffiths,Comedy,USA,Mark Griffiths,R,2.9,1986,9-12-1986,88
140,Otello,Plácido Domingo,Arrigo Boito,Drama,Netherlands,Franco Zeffirelli,PG,7.2,1986,9-12-1986,100
141,The Men's Club,David Dukes,Leonard Michaels,Drama,USA,Peter Medak,R,4.5,1986,9-19-1986,101
142,Link,Terence Stamp,Lee David Zlotoff,Horror,UK,Richard Franklin,R,5.9,1986,9-19-1986,100
143,Jackals,Jack Lucarelli,Dennis A. Pratt,Action,USA,Gary Grillo,R,5.3,1986,9-19-1986,97
144,Where the River Runs Black,Charles Durning,Neal Jimenez,Adventure,USA,Christopher Cain,PG,6.6,1986,9-19-1986,100
145,The Name of the Rose,Sean Connery,Umberto Eco,Crime,Italy,Jean-Jacques Annaud,R,7.8,1986,9-24-1986,130
146,Crocodile Dundee,Paul Hogan,Ken Shadie,Adventure,Australia,Peter Faiman,PG-13,6.5,1986,9-26-1986,97
147,The Boy Who Could Fly,Lucy Deakins,Nick Castle,Drama,USA,Nick Castle,PG,6.5,1986,9-26-1986,114
148,Half Moon Street,Sigourney Weaver,Edward Behr,Thriller,UK,Bob Swaim,R,5.4,1986,9-26-1986,90
149,Ménage,Gérard Depardieu,Bertrand Blier,Comedy,France,Bertrand Blier,Not specified,7,1986,10-1-1986,84
150,Tough Guys,Burt Lancaster,James Orr,Comedy,USA,Jeff Kanew,PG,6.2,1986,10-3-1986,104
151,'Round Midnight,Dexter Gordon,David Rayfiel,Drama,USA,Bertrand Tavernier,R,7.4,1986,10-3-1986,133
152,Playing for Keeps,Daniel Jordano,Bob Weinstein,Comedy,USA,Bob Weinstein,PG-13,4.1,1986,10-3-1986,102
153,Armed Response,David Carradine,T.L. Lankford,Action,USA,Fred Olen Ray,R,4.9,1986,10-3-1986,86
154,Peggy Sue Got Married,Kathleen Turner,Jerry Leichtling,Comedy,USA,Francis Ford Coppola,PG-13,6.3,1986,10-10-1986,103
155,Deadly Friend,Matthew Labyorteaux,Diana Henstell,Drama,USA,Wes Craven,R,5.5,1986,10-10-1986,91
156,Jumpin' Jack Flash,Whoopi Goldberg,David Franzoni,Comedy,USA,Penny Marshall,R,5.8,1986,10-10-1986,105
157,Clockwise,John Cleese,Michael Frayn,Comedy,UK,Christopher Morahan,PG,6.6,1986,10-10-1986,96
158,True Stories,David Byrne,Stephen Tobolowsky,Musical,USA,David Byrne,PG,7,1986,10-10-1986,90
159,That's Life!,Jack Lemmon,Milton Wexler,Comedy,USA,Blake Edwards,PG-13,6.1,1986,10-10-1986,102
160,The Color of Money,Paul Newman,Walter Tevis,Drama,USA,Martin Scorsese,R,7,1986,10-17-1986,119
161,Blue Velvet,Isabella Rossellini,David Lynch,Drama,USA,David Lynch,R,7.8,1986,10-23-1986,120
162,From Beyond,Jeffrey Combs,H.P. Lovecraft,Horror,USA,Stuart Gordon,R,6.7,1986,10-24-1986,86
163,Soul Man,C. Thomas Howell,Carol Black,Comedy,USA,Steve Miner,PG-13,5.2,1986,10-24-1986,104
164,Trick or Treat,Marc Price,Rhet Topham,Comedy,USA,Charles Martin Smith,R,5.8,1986,10-24-1986,98
165,Down by Law,Tom Waits,Jim Jarmusch,Comedy,USA,Jim Jarmusch,R,7.8,1986,10-30-1986,107
166,The Mission,Robert De Niro,Robert Bolt,Adventure,UK,Roland Joffé,PG,7.5,1986,10-31-1986,125
167,Children of a Lesser God,William Hurt,Mark Medoff,Drama,USA,Randa Haines,R,7.2,1986,10-31-1986,119
168,Let's Get Harry,Michael Schoeffling,Mark Feldberg,Action,USA,Stuart Rosenberg,R,5.2,1986,10-31-1986,102
169,Sky Bandits,Scott McGinnis,Thom Keyes,Action,UK,Zoran Perisic,PG,4.6,1986,10-31-1986,100
170,Malcolm,Colin Friels,David Parker,Comedy,Australia,Nadia Tass,PG-13,7.2,1986,11-5-1986,90
171,Betty Blue,Jean-Hugues Anglade,Philippe Djian,Drama,France,Jean-Jacques Beineix,Not specified,7.4,1986,11-7-1986,120
172,Sid and Nancy,Gary Oldman,Alex Cox,Biography,UK,Alex Cox,R,7.1,1986,11-7-1986,112
173,52 Pick-Up,Roy Scheider,Elmore Leonard,Crime,USA,John Frankenheimer,R,6.4,1986,11-7-1986,110
174,Something Wild,Jeff Daniels,E. Max Frye,Comedy,USA,Jonathan Demme,R,6.9,1986,11-7-1986,114
175,Modern Girls,Daphne Zuniga,Laurie Craig,Comedy,USA,Jerry Kramer,PG-13,5.9,1986,11-7-1986,84
176,Tai-Pan,Bryan Brown,John Briley,Adventure,USA,Daryl Duke,R,5.5,1986,11-7-1986,127
177,Nobody's Fool,Rosanna Arquette,Beth Henley,Comedy,USA,Evelyn Purcell,PG-13,5.5,1986,11-7-1986,107
178,Quiet Cool,James Remar,Clay Borris,Action,USA,Clay Borris,R,5.7,1986,11-7-1986,100
179,Saving Grace,Tom Conti,Celia Gittelson,Comedy,USA,Robert M. Young,PG,7,1986,11-13-1986,112
180,Every Time We Say Goodbye,Tom Hanks,Moshé Mizrahi,Drama,Israel,Moshé Mizrahi,PG-13,5.9,1986,11-14-1986,95
181,Willy/Milly,Pamela Adlon,Alan Friedman,Comedy,USA,Paul Schneider,PG-13,5.7,1986,11-14-1986,86
182,The Decline of the American Empire,Dominique Michel,Denys Arcand,Comedy,Canada,Denys Arcand,R,7.3,1986,11-14-1986,101
183,Streets of Gold,Klaus Maria Brandauer,Dezsö Magyar,Drama,USA,Joe Roth,R,6,1986,11-14-1986,95
184,Wired to Kill,Emily Longstreth,Francis Schaeffer,Action,USA,Francis Schaeffer,R,4.2,1986,11-14-1986,86
185,The Wraith,Charlie Sheen,Mike Marvin,Action,USA,Mike Marvin,PG-13,5.9,1986,11-21-1986,93
186,An American Tail,Dom DeLuise,Judy Freudberg,Animation,USA,Don Bluth,G,6.9,1986,11-21-1986,80
187,Firewalker,Chuck Norris,Robert Gosnell,Action,USA,J. Lee Thompson,PG,5,1986,11-21-1986,104
188,Defense of the Realm,Gabriel Byrne,Martin Stellman,Thriller,UK,David Drury,PG,6.6,1986,11-21-1986,96
189,Star Trek IV: The Voyage Home,William Shatner,Gene Roddenberry,Adventure,USA,Leonard Nimoy,PG,7.3,1986,11-26-1986,119
190,The Mosquito Coast,Harrison Ford,Paul Theroux,Adventure,USA,Peter Weir,PG,6.6,1986,11-26-1986,117
191,Solarbabies,Richard Jordan,Walon Green,Action,USA,Alan Johnson,PG-13,4.8,1986,11-26-1986,94
192,Mauvais Sang,Michel Piccoli,Leos Carax,Crime,France,Leos Carax,UNRATED,7.3,1986,11-26-1986,116
193,Nutcracker,Hugh Bigney,Kent Stowell,Family,USA,Carroll Ballard,G,7.2,1986,11-26-1986,100
194,Deadtime Stories,Scott Valentine,Jeffrey Delman,Comedy,USA,Jeffrey Delman,R,4.6,1986,11-28-1986,93
195,Heartbreak Ridge,Clint Eastwood,James Carabatsos,Action,USA,Clint Eastwood,R,6.8,1986,12-5-1986,130
196,The Golden Child,Eddie Murphy,Dennis Feldman,Action,USA,Michael Ritchie,PG-13,5.9,1986,12-12-1986,94
197,¡Three Amigos!,Steve Martin,Steve Martin,Comedy,USA,John Landis,PG,6.4,1986,12-12-1986,104
198,Native Son,Victor Love,Richard Wesley,Drama,USA,Jerrold Freedman,PG,5.9,1986,12-12-1986,111
199,Little Shop of Horrors,Rick Moranis,Howard Ashman,Comedy,USA,Frank Oz,PG-13,6.9,1986,12-19-1986,94
200,King Kong Lives,Brian Kerwin,Ronald Shusett,Action,USA,John Guillermin,PG-13,3.8,1986,12-19-1986,105
201,No Mercy,Richard Gere,James Carabatsos,Crime,USA,Richard Pearce,R,5.7,1986,12-19-1986,106
202,The Morning After,Jane Fonda,James Cresson,Crime,USA,Sidney Lumet,R,6,1986,12-25-1986,103
203,Brighton Beach Memoirs,Blythe Danner,Neil Simon,Comedy,USA,Gene Saks,PG-13,6.9,1986,12-25-1986,108
204,Wisdom,Emilio Estevez,Emilio Estevez,Crime,USA,Emilio Estevez,R,5.7,1987,1-2-1987,109
205,Meatballs III: Summer Job,Sally Kellerman,Janis Allen,Comedy,Canada,George Mendeluk,R,3.3,1986,1-9-1987,96
206,Assassination,Charles Bronson,Richard Sale,Action,USA,Peter R. Hunt,PG-13,5.1,1987,1-9-1987,88
207,Wanted: Dead or Alive,Rutger Hauer,Michael Patrick Goodman,Action,USA,Gary Sherman,R,5.9,1987,1-16-1987,106
208,The Bedroom Window,Steve Guttenberg,Anne Holden,Crime,USA,Curtis Hanson,R,6.4,1987,1-16-1987,112
209,Critical Condition,Richard Pryor,Denis Hamill,Comedy,USA,Michael Apted,R,5.2,1987,1-16-1987,100
210,Crimes of the Heart,Diane Keaton,Beth Henley,Comedy,USA,Bruce Beresford,PG-13,6.4,1986,1-23-1987,105
211,"'night, Mother",Sissy Spacek,Marsha Norman,Drama,USA,Tom Moore,PG-13,7.6,1986,1-29-1987,96
212,Allan Quatermain and the Lost City of Gold,Richard Chamberlain,H. Rider Haggard,Action,USA,Gary Nelson,PG,4.4,1986,1-30-1987,99
213,Radio Days,Mia Farrow,Woody Allen,Comedy,USA,Woody Allen,PG,7.6,1987,1-30-1987,88
214,Outrageous Fortune,Shelley Long,Leslie Dixon,Comedy,USA,Arthur Hiller,R,6.1,1987,1-30-1987,99
215,Platoon,Charlie Sheen,Oliver Stone,Drama,UK,Oliver Stone,R,8.1,1986,2-6-1987,120
216,Black Widow,Debra Winger,Ronald Bass,Crime,USA,Bob Rafelson,R,6.3,1987,2-6-1987,102
217,Light of Day,Michael J. Fox,Paul Schrader,Drama,USA,Paul Schrader,PG-13,5.5,1987,2-6-1987,107
218,Dead of Winter,Mary Steenburgen,Marc Shmuger,Drama,USA,Arthur Penn,R,6.3,1987,2-6-1987,100
219,From the Hip,Judd Nelson,Bob Clark,Comedy,USA,Bob Clark,PG,6.2,1987,2-6-1987,111
220,Over the Top,Sylvester Stallone,Gary Conway,Action,USA,Menahem Golan,PG,5.7,1987,2-13-1987,93
221,Mannequin,Andrew McCarthy,Edward Rugoff,Comedy,USA,Michael Gottlieb,PG,5.8,1987,2-13-1987,90
222,84 Charing Cross Road,Anne Bancroft,Helene Hanff,Biography,UK,David Hugh Jones,PG,7.5,1987,2-13-1987,100
223,Return to Horror High,Lori Lethin,Bill Froehlich,Comedy,USA,Bill Froehlich,R,4.2,1987,2-20-1987,95
224,Morgan Stewart's Coming Home,Jon Cryer,Ken Hixon,Comedy,USA,Paul Aaron,PG-13,5.4,1987,2-20-1987,100
225,Death Before Dishonor,Fred Dryer,John Gatliff,Action,USA,Terry Leonard,R,4.9,1987,2-20-1987,91
226,Hoosiers,Gene Hackman,Angelo Pizzo,Drama,UK,David Anspaugh,PG,7.6,1986,2-27-1987,114
227,A Nightmare on Elm Street 3: Dream Warriors,Heather Langenkamp,Wes Craven,Action,USA,Chuck Russell,R,6.6,1987,2-27-1987,96
228,Some Kind of Wonderful,Eric Stoltz,John Hughes,Drama,USA,Howard Deutch,PG-13,7.1,1987,2-27-1987,95
229,Lethal Weapon,Mel Gibson,Shane Black,Action,USA,Richard Donner,R,7.6,1987,3-6-1987,110
230,Angel Heart,Mickey Rourke,William Hjortsberg,Horror,UK,Alan Parker,R,7.3,1987,3-6-1987,113
231,Hunk,John Allen Nelson,Lawrence Bassoff,Comedy,USA,Lawrence Bassoff,PG,4.6,1987,3-6-1987,102
232,Witchboard,Todd Allen,Kevin Tenney,Horror,UK,Kevin Tenney,R,5.7,1986,3-13-1987,98
233,Heat,Burt Reynolds,William Goldman,Action,USA,Dick Richards,R,5.5,1986,3-13-1987,101
234,Man Facing Southeast,Lorenzo Quinteros,Eliseo Subiela,Drama,Argentina,Eliseo Subiela,R,7.8,1986,3-13-1987,105
